Term	Notes	Russian
card_iron_bar_description		Блестящий, ценный материал
card_iron_bar_name		Железный слиток
card_iron_deposit_description		Содержит железную руду
card_iron_deposit_name		Месторождение железа
card_iron_deposit_status		Добывающее месторождение
card_iron_ore_description		Может быть превращена в железные слитки
card_iron_ore_name		Железная руда
card_key_description		Интересно для чего это...
card_key_name		Ключ
card_kid_description		Ребенок. Нужен дом, чтобы вырасти
card_kid_name		Ребенок
card_lumbercamp_description		Бесконечное месторождение дерева
card_lumbercamp_name		Лесозаготовительный лагерь
card_lumbercamp_status		Вахтовый поселок
card_map_description		Используйте карту, чтобы превратить жителя деревни в исследователя
card_map_name		Карта
card_market_name		Рынок
card_militia_name		Воин
card_milk_description		Только что от коровы
card_milk_name		Молоко
card_milkshake_description		Со вкусом ягод
card_milkshake_name		Молочный коктейль
card_mountain_description		Холм с заостренным краем
card_mountain_name		Гора
card_mountain_status		Исследование горы
card_mushroom_description		Съедобный гриб
card_mushroom_name		Гриб
card_old_tome_description		Книга с некоторыми идеями
card_old_tome_name		Старый том
card_old_tome_status		Изучение старого тома
card_old_village_description		Говорят, что здесь до сих пор живет человек...
card_old_village_name		Старый поселок
card_old_village_status		Исследование старого поселка
card_omelette_description		Гордон Рамзи гордился бы
card_omelette_name		Омлет
card_onion_description		Можно есть сырым или можно приготовить, как вам больше нравится
card_onion_name		Лук
card_plains_description		Прекрасный вид
card_plains_name		Равнины
card_plains_status		Исследование равнин
card_plank_description		Прочный строительный материал
card_plank_name		Доска
card_poop_description		Выглядит вонючим
card_poop_name		Дерьмо
card_potato_description		Гладкая и крахмалистая, но ее следует сначала сварить
card_potato_name		Картофель
card_quarry_description		Бесконечное месторождение камня
card_quarry_name		Карьер
card_quarry_status		Добыча в карьере
card_rabbit_description		Пушистая машинка по выработке дерьма
card_rabbit_name		Кролик
card_rat_description		Маленькая версия гигантской крысы
card_rat_name		Крыса
card_raw_meat_description		Стоит сначала приготовить
card_raw_meat_name		Сырое мясо
card_rock_description		Выглядит крепко, но легко пробивается
card_rock_name		Камень
card_rock_status		Бьет камень
card_sawmill_description		Быстро перерабатывает дерево в доски
card_sawmill_name		Лесопильня
card_shed_description		Повышает ваш лимит карт на 4
card_shed_name		Сарай
card_skeleton_description		Монстр, состоящий из набора костей
card_skeleton_name		Скелет
card_slime_description		Три маленьких слайма в пальто
card_slime_name		Слайм
card_small_slime_description		Наполненный лакомствами
card_small_slime_name		Маленький слайм
card_soil_description		Простой и медленный способ выращивания пищи
card_soil_name		Почва
card_spear_description		Палочка с заостренным концом
card_spear_name		Копье
card_stew_description		Сытный обед
card_stew_name		Тушеное мясо
card_stick_description		Раньше была частью дерева
card_stick_name		Палка
card_stone_description		Простой ресурс
card_stone_name		Камень
card_stove_description		Готовит быстрее, чем костер
card_stove_name		Плита
card_sword_description		Железный пруток с заостренным концом
card_sword_name		Меч
card_swordsman_name		Мечник
card_temple_description		Важное место поклонения. Ему нужен таинственный артефакт.
card_temple_name		Храм
card_travelling_cart_description		Дай мне 5 монет и я дам тебе карту!
card_travelling_cart_name		Странствующая тележка
card_treasure_chest_description		Она замкнута
card_treasure_chest_name		Сундук с сокровищами
card_tree_description		Из дерева и палочек
card_tree_name		Дерево
card_tree_status		Бьет дерево
card_villager_description		Трудолюбивый первопроходец
card_villager_name		Житель деревни
card_warehouse_description		Увеличивает ваш лимит карт на 14
card_warehouse_name		Склад
card_wolf_description		Выглядит зловеще
card_wolf_name		Волк
card_wood_description		Простой ресурс
card_wood_name		Древесина
cardtype_food		Еда
cardtype_ideas		Идеи
cardtype_locations		Локации
cardtype_mobs		Существа
cardtype_resources		Ресурсы
cardtype_structures		Структуры
idea_animalpen_status_0		Строительство загона для животных
idea_brick_status_0		Создание кирпича
idea_brickyard_status_0		Строительство кирпичного завода
idea_campfire_status_0		Разжигание костра
idea_carving_status_0		Создание палки
idea_chicken_status_0		Курица высиживает яйца
idea_coinchest_status_0		Создание сундука для монет
idea_cookedmeat_status_0		Приготовление мяса
idea_farm_status_0		Строительство фермы
idea_frittata_status_0		Приготовление фриттаты
idea_fruitsalad_status_0		Приготовление фруктового салата
idea_garden_status_0		Строительство сада
idea_growth_name		Садоводство
idea_growth_status_0		Выращивание ягодного куста
idea_growth_status_1		Выращивание яблони
idea_growth_status_2		Выращивание моркови
idea_growth_status_3		Выращивание лука
idea_growth_status_4		Выращивание картофеля
idea_growth_status_5		Выращивание грибов
idea_house_status_0		Строительство дома
idea_ironweapons_status_0		Создание меча
idea_ironweapons_status_1		Тренировка мечника
idea_lumbercamp_status_0		Строительство лесозаготовительного лагеря
idea_market_status_0		Строительство рынка	
idea_milkshake_status_0		Приготовление молочного коктейля
idea_mine_status_0		Строительство шахты
idea_offspring_name		Размножение
idea_offspring_status_0		Создание потомства
idea_offspring_status_1		Создание щенка
idea_omelette_status_0		Приготовление омлета
idea_planks_status_0		Создание досок
idea_quarry_status_0		Строительство карьера
idea_sawmill_status_0		Строительство лесопилки
idea_shed_status_0		Строительство садового сарая
idea_smelting_status_0		Строительство плавильни
idea_smelting_status_1		Выплавка железа
idea_stew_status_0		Приготовление рагу
idea_stove_status_0		Строительство печи
idea_temple_status_0		Строительство храма	
idea_warehouse_status_0		Строительство склада	
idea_woodenweapons_status_0		Создание копья	
idea_woodenweapons_status_1		Обучение солдат 
idea_woodenweapons_status_2		Обучение исследователя
ideagroup_basic		Основной
ideagroup_building		Cтроительство	
ideagroup_cooking		Рецепты кулинарных блюд	
ideagroup_military		Военные	
ideagroup_resources		Ресурсы	
label_an_idea		Идея	
label_back		Назад	
label_back_to_menu		Вернуться к меню	
label_buy_packs_to_find_idea		Купите пакеты, чтобы найти эту идею	
label_cant_be_sold		Невозможно продать	
label_card_not_found		Карта не найдена	
label_cardopedia		Картопедеия	
label_cards_found		[found]/[total] карт найдено
label_cards_infobox		Ваша текущая максимальная сумма карт [max_card_count]. У вас [card_count] [cardicon] (не включает монеты)
label_cards_infobox_warning		У вас слишком много [cardicon]. Избавьтесь от Карт, иначе в конце Луны вам придется продавать Карты!
label_clear_save		Очистить сохранение	
label_clear_save_confirm		Вы уверены, что хотите очистить сохранение?	
label_coin_infobox_text		Общее количество монет, которое у вас есть	
label_coin_infobox_title		Монеты	
label_complete_more_quests		<one>Выполните еще 1 задание, чтобы разблокировать новый пакет!<other>Complete [remaining] more quests to unlock a new Pack!	
label_complete_more_quests_for_pack		<one>Выполните еще 1 задание, чтобы разблокировать этот пакет!<other>Выполните [remaining] больше заданий, чтобы разблокировать этот пакет!	
label_completed_main_quest		Вы выполнили главный квест!	
label_continue		Продолжить	
label_continue_run		Продолжить забег (Луна [moon])	
label_credits		Кредиты	
label_damage		Урон:	
label_drag_coins_to_buy_pack		Перетащите [cost][goldicon] здесь, чтобы купить этот пакет    	
label_drop_to_sell		Продать за [value]	
label_eating		Прием пищи...	
label_end_of_moon		Конец луны [moon]	
label_everyone_fed		Все сыты!	
label_everyone_starved		Все умерли от голода!	
label_feed_villagers		Накормить жителей деревни	
label_foil	Термин для описания «блестящей» карты	(foil)	
label_fullscreen		Полный экран: [on_off]	
label_game_options		Параметры игры	
label_game_over		Game Over
label_goblet_brought_to_temple		Кубок был принесен в Храм	
label_hit_chance		Вероятность успеха:	
label_idea_fullname		Идея: [name]	
label_ideas		Идеи	
label_ideas_found		[found]/[total] идеи найдены	
label_keep_playing		Продолжайте играть, чтобы собрать все карты!	
label_languages_title		Языки	
label_may_contain		Может содержать:	
label_moon_length		Длительность Луны	
label_moon_length_long		Длинная	
label_moon_length_normal		Обычная	
label_moon_length_short		Короткая	
label_moon_length_tooltip		Длительность Луны - длиннее, значит проще	
label_new		Новое!	
label_new_cards_found		<one>Найдена 1 новая карта<other>[count] Найдены новые карты	
label_new_pack_unlocked		Новый пакет разблокирован!	
label_new_run_confirm		Вы уверены, что хотите начать новый забег? Вы потеряете прогресс в текущем задании!	
label_nice		Отлично!	
label_no		Нет	
label_off		Выкл	
label_okay		Хорошо	
label_on		Вкл	
label_options		Параметры	
label_pack_now_available		[pack] Пакет теперь доступен!	
label_paused		Пауза	
label_peaceful_mode		Мирный режим	
label_peaceful_mode_tooltip		В мирном режиме нет врагов	
label_quest		Квест	
label_quest_completed		Квест выполнен!	
label_quest_not_possible_in_peaceful		Невозможно в мирном режиме	
label_quests		Квесты	
label_quests_completed		<one>1 задание выполнено<other>[count] Выполненные квесты	
label_quit		Выход
label_resolution		Разрешение: [width]x[height]	
label_resolutions_title		Разрешения	
label_seconds_format		[seconds] сек.
label_seconds_left_format		Осталось [seconds] сек.	
label_select_language		Выбор языка	
label_sell		Продать	
label_sell_cards_to_continue		Продать карты, чтобы продолжить
label_sell_x_cards		<one>Продать 1 карту<other>Продать [count] карт	
label_sellbox_title		Продажа карт	
label_stack_of_cards		Стопка карт	
label_start_new_moon		Начать новую луну	
label_start_new_run		Начать новый забег	
label_start_of_moon		Начать луну [moon]	
label_start_run		Начать забег	
label_start_the_ritual		Начать ритуал	
label_strange_portal_appeared		Появился странный портал	
label_time_to_eat		Время есть	
label_timetext		Луна [moon]	
label_timetext_peaceful		Луна [moon] - Мирный режим	
label_toggle_panel_title		Переключаемая панель
label_too_many_cards		<one>У вас на 1 карту больше!<other>У вас [count] Карт слишком много!	
label_travelling_cart_appeared		Появилась дорожная повозка	
label_uh_oh		Ох	
label_undiscovered_cards		<one>1 неоткрытая карта<other>[count] неоткрытых карт	
label_well_done		Отличная работа!
label_yes		Да	
label_you_killed_the_demon		Ты убил демона!	
label_you_reached_moon		Вы достигли луны [moon]	
pack_a_new_world_text		Новый мир
pack_cuisine_text		Диковинная кухня
pack_explorers_text		Исследователи
pack_farming_text		Что посеешь, то и пожнешь
pack_humble_beginnings_text		Скромное начало
pack_logic_reason_text		Логика и разум
pack_order_structure_text		Порядок и структура
pack_seeking_wisdom_text		В поисках мудрости
quest_3_villagers_text		Получите 3 жителей деревни	
quest_bring_goblet_text		Принесите кубок в храм	
quest_build_3_houses_text		Имеют 3 дома	
quest_build_farm_text		Постройте ферму	
quest_build_house_text		Постройте дом	
quest_build_temple_text		Постройте храм
quest_buy_booster_text		Купить набор "Скромное начало" 	
quest_buy_from_travelling_cart_text		Купить что-нибудь в тележке путешественника	
quest_carve_stick_text		Сделайте палку из дерева	
quest_cook_frittata_text		Приготовьте фриттату	
quest_cook_meat_text		Готовьте сырое мясо	
quest_cook_omelette_text		Приготовьте омлет	
quest_create_brickyard_text		Постройте кирпичный двор	
quest_create_lumbercamp_text		Постройте лагерь для лесорубов	
quest_create_offspring_text		Создать потомство	
quest_create_quarry_text		Постройте карьер	
quest_create_shed_text		Постройте сарай	
quest_explore_forest_text		Исследуйте лес	
quest_explore_mountain_text		Исследуйте гору	
quest_find_catacombs_text		Найдите катакомбы	
quest_find_goblet_text		Найдите таинственный артефакт
quest_find_graveyard_text		Найти кладбище	
quest_get_a_dog_text		Заведите собаку	
quest_get_iron_bar_text		Приобретите железный слиток	
quest_have_gold_text		[count] Монет
quest_have_10_ideas_text		10 идей	
quest_have_10_stone_text		10 камней	
quest_have_10_wood_text		10 Древесины	
quest_have_food_text		[count] еды	
quest_have_5_ideas_text		5 идей	
quest_kill_a_rat_text		Убить крысу	
quest_kill_a_skeleton_text		Убить скелета	
quest_kill_demon_text		Убить демона	
quest_open_starter_pack_text		Откройте бустер пакет	
quest_open_treasure_chest_text		Откройте сундук с сокровищами	
quest_pick_berrybush_text		Перетащите жителя деревни на ягодный куст	
quest_reach_month_text		Достичь Луны [count]
quest_second_villager_text		Получите второго жителя деревни
quest_sell_at_market_text		Продайте карту на рынке	
quest_sell_card_text		Продать карту	
quest_start_campfire_text		Разведите костер	
quest_train_explorer_text		Обучение исследователя	
quest_train_militia_text		Обучить война	
quest_unlock_all_packs_text		Разблокируйте все пакеты	
new_creating_graveyard		Создание кладбища	
new_selling_card		Продать [card]
new_portal_shaking		Портал дрожит	
new_growing_up		Взросление	
card_aquarium_description		Вмещает 5 рыб	
card_aquarium_name		Аквариум	
card_banana_description		Всеми любимый желтый фрукт	
card_banana_name		Банан	
card_banana_tree_description		Сделано из бананов	
card_banana_tree_name		Банановое дерево	
card_banana_tree_status		Удар по банановому дереву	
card_boat_status		Отплытие	
card_bottle_of_rum_description		Осторожно: спаивает жителей деревни!	
card_bottle_of_rum_name		Бутылка рома	
card_bottle_of_water_description		Прозрачная бутылка, наполненная прозрачной жидкостью	
card_bottle_of_water_name		Бутылка воды	
card_captain_description		Будучи экспертом в морских путешествиях, он уплывает быстрее всех 
card_captain_name		Капитан	
card_cathedral_description		Важное место поклонения. Ему нужна реликвия
card_cathedral_name		Кафедральный собор	
card_cave_description		Пираты хранили свои карты сокровищ в таких...	
card_cave_name		Пещера	
card_cave_status		Исследование пещеры	
card_ceviche_description		Маринованная рыба в лаймовом соке	
card_ceviche_name		Севиче	
card_charcoal_description		Действует как противоядие от змеиного яда	
card_charcoal_name		Древесный уголь	
card_chili_pepper_description		Приятный и острый	
card_chili_pepper_name		Перец чили	
card_coconut_description		Это фрукт, а не орех!	
card_coconut_name		Кокос	
card_coconut_piece_description		Тропический!	
card_coconut_piece_name		Кусочек кокоса	
card_coconut_tree_description		Изготовлено из кокосового ореха	
card_coconut_tree_name		Кокосовое дерево	
card_coconut_tree_status		Кокосовое дерево для пробивания отверстий	
card_cod_name		Треска		
card_coin_chest_description		Сундук, в котором можно хранить монеты	
card_coin_chest_name		Сундук с монетами	
card_composter_description		Превращает 5 продуктов в почву	
card_composter_name		Компостер	
card_cooked_crab_meat_description		Это шикарно	
card_cooked_crab_meat_name		Приготовленный краб	
card_cooked_fish_description		Я чувствую вкус следов гриля	
card_cooked_fish_name		Рыба на гриле	
card_cotton_description		Шерсть природы	
card_cotton_name		Хлопок	
card_cotton_plant_description		Можно собирать урожай хлопка	
card_cotton_plant_name		Хлопчатник	
card_cotton_plant_status		Сбор урожая хлопчатника
card_crab_description		Почему все эволюционирует в крабов?	
card_crab_name		Краб	
card_demon_lord_description		Последний, последний босс!	
card_demon_lord_name		Владыка демонов	
card_distillery_description		Используется для изготовления спиртного	
card_distillery_name		Винокурня	
card_driftwood_description		Куча дерева, выброшенная на берег	
card_driftwood_name		Дрейфующая древесина	
card_driftwood_status		Рыться в выброшенных на берег деревяшках	
card_eel_description		Электрическая морская змея	
card_eel_name		Угорь-сапер	
card_empty_bottle_description		Изготовлен из стекла. Можно наполнять!	
card_empty_bottle_name		Пустая бутылка	
card_fabric_description		Волокна. вместе. крепкие.	
card_fabric_name		Ткань	
card_fish_trap_description		В качестве приманки нужен вид пищи	
card_fish_trap_name		Ловушка для рыбы	
card_fish_trap_status		Ловля рыбы	
card_fisher_description		Эксперт по рыбной ловле. Рыба боится его
card_fisher_name		Рыболов	
card_fishing_rod_description		Отдайте его жителю деревни, чтобы превратить его в рыболова	
card_fishing_rod_name		Рыболовная удочка	
card_fishing_spot_description		Водоем, наполненный рыбой	
card_fishing_spot_name		Рыболовное место	
card_fishing_spot_status		Рыболовство	
card_friendly_pirate_description		Он перешел на вашу сторону	
card_friendly_pirate_name		Дружелюбный пират	
card_frigate_description		Может нести 25 карт. Чтобы начать плавание, нужен житель деревни. Не может переносить здания	
card_frigate_name		Фрегат	
card_glass_description		Прозрачный ресурс	
card_glass_name		Стекло	
card_gold_bar_description		Очень блестящий, очень ценный материал	
card_gold_bar_name		Золотой слиток	
card_gold_deposit_description		В нем содержится золотая руда	
card_gold_deposit_name		Месторождение золота	
card_gold_deposit_status		Добыча золота	
card_gold_mine_description		Неограниченный ресурс золотой руды	
card_gold_mine_name		Золотая шахта	
card_gold_mine_status		Работа в золотом руднике	
card_gold_ore_description		Можно превратить в золотые слитки	
card_gold_ore_name		Золотая руда	
card_goop_description		Смесь, осадок, грязь: это испорченная еда	
card_goop_name		Липкая масса	
card_greenhouse_description		Высокотехнологичное здание для выращивания продуктов питания. Автоматически пересаживает посевы	
card_greenhouse_name		Теплица	
card_island_relic_description		Принесите ее в собор	
card_island_relic_name		Островная реликвия	
card_jungle_description		Лес, известный благодаря книгам	
card_jungle_name		Джунгли	
card_jungle_status		Исследование джунглей	
card_kraken_description		Злится, что вы взяли его реликвию	
card_kraken_name		Кракен	
card_lime_description		Круглый и кислый	
card_lime_name		Лайм	
card_mackerel_name		Скумбрия	
card_mess_hall_description		Деревенские жители будут отдавать предпочтение еде, находящейся на вершине столовой
card_mess_hall_name		Зал ожидания	
card_message_in_a_bottle_description		Кажется, в нем есть идея	
card_message_in_a_bottle_name		Послание в бутылке	
card_message_in_a_bottle_status		Открыть бутылку	
card_mine_description		Неограниченные запасы железной руды	
card_mine_name		Железный рудник	
card_mine_status		Работа в железной шахте
card_momma_crab_description		Может, не стоило убивать тех крабов?	
card_momma_crab_name		Мама-краб	
card_monkey_description		Очень хотелось бы получить банан	
card_monkey_name		Обезьяна	
card_parrot_description		Говорит как человек, летает как птица. Делает пиратов счастливыми	
card_parrot_name		Попугай	
card_pirate_boat_description		Лодка, полная пиратов	
card_pirate_boat_name		Пиратская лодка	
card_pirate_boat_status		Мы оставим вас в покое за [count] монет..	
card_pirate_description		Грузный сердитый моряк	
card_pirate_name		Пират	
card_raw_crab_meat_description		Перед употреблением следует проварить	
card_raw_crab_meat_name		Сырое крабовое мясо	
card_raw_fish_description		Он скользкий
card_raw_fish_name		Сырая рыба
card_rope_description		Длинный и волокнистый
card_rope_name		Веревка	
card_rowboat_description		Может нести 1 карту. Чтобы начать плавание, нужен житель деревни. Не может переносить здания
card_rowboat_name		Гребная лодка	
card_sacred_chest_description		Чтобы открыть его, нужен Священный ключ
card_sacred_chest_name		Священный сундук	
card_sacred_key_description		Выкован из стекла и золота. Используется для открытия Священного ларца
card_sacred_key_name		Священный ключ	
card_sail_description		Используется для изготовления лодок	
card_sail_name		Парус	
card_sand_description		Главный ингредиент для хорошего пляжа	
card_sand_name		Песок	
card_sand_quarry_description		Неограниченный ресурс песка	
card_sand_quarry_name		Песчаный карьер	
card_sand_quarry_status		Добыча в песчаном карьере
card_sandstone_description		Альтернатива камню. Может использоваться для всего, для чего нужен камень
card_sandstone_name		Песчаник	
card_seafood_stew_description		Вкусное островное рагу	
card_seafood_stew_name		Рагу из морепродуктов	
card_seagull_description		Сердитая птица	
card_seagull_name		Чайка	
card_seaweed_description		Морской салат	
card_seaweed_name		Морские водоросли	
card_shark_description		Вид большой сердитой рыбы	
card_shark_name		Акула	
card_sheep_description		Пушистик!
card_sheep_name		Овцы	
card_shell_chest_description		Сундук, в котором можно хранить ракушки	
card_shell_chest_name		Сундук с ракушками	
card_shell_description		Основная валюта на острове	
card_shell_name		Ракушка	
card_sloop_description		Может нести 10 карт. Чтобы начать плавание, нужен житель деревни. Не может переносить здания	
card_sloop_name		Шлюп	
card_smelter_description		Перерабатывает различные материалы путем их плавления	
card_smelter_name		Плавильная печь	
card_smelter_status		Плавка	
card_snake_description		Ползучее, ядовитое существо	
card_snake_name		Змея	
card_sugar_cane_description		Это трава со вкусом конфет	
card_sugar_cane_name		Сахарный тростник	
card_sugar_cane_status		Сбор урожая сахарного тростника	
card_sugar_description		Очень сладко!	
card_sugar_name		Тростниковый сахар	
card_sushi_description		Вкусное угощение	
card_sushi_name		Суши	
card_tamago_sushi_description		Суши со вкусом яиц	
card_tamago_sushi_name		Тамаго Суши	
card_tentacle_description		Вихляй, вихляй, вихляй	
card_tentacle_name		Щупальце	
card_tiger_description		Очень сильная кошка	
card_tiger_name		Тигр	
card_trained_monkey_description		Может помочь вам по хозяйству. Превращается в обычную обезьяну в конце Луны	
card_trained_monkey_name		Дрессированная обезьяна
card_treasure_map_description		Х отмечает место. Его нужно искать вместе с жителем деревни
card_treasure_map_name		Карта сокровищ	
card_treasure_map_status		В поисках сокровищ	
card_tuna_name		Тунец	
card_wool_description		Мягкий ресурс	
card_wool_name		Шерсть	
cardtype_fish		Рыба	
cardtype_rumors		Слухи	
empty	Intentionally left blank												
idea_aquarium_status_0		Строительство аквариума
idea_befriending_pirate_status		Подружиться с пиратом	
idea_bottle_status_0		Изготовление бутылки	
idea_cathedral_status_0		Строительный собор	
idea_ceviche_status		Приготовление севиче	
idea_charcoal_status		Изготовление древесного угля	
idea_charcoal_status_0		Изготовление древесного угля	
idea_compass_status		Изготовление компаса	
idea_composter_status		Строительный компостер	
idea_composting_status		Компостирование	
idea_cooked_crab_meat_status_0		Приготовление крабового мяса	
idea_cooked_fish_status_0		Рыба-гриль	
idea_cracking_coconut_status		Раскалывание кокосового ореха	
idea_distillery_status		Строительство винокурни	
idea_eating_charcoal		Устранение яда	
idea_fabric_status		Изготовление ткани	
idea_filling_bottle_of_water		Заправочная бутылка	
idea_fish_trap_status		Строительство ловушки для рыбы	
idea_fishing_rod_status		Изготовление рыболовной удочки	
idea_frigate_status0		Строительство фрегата	
idea_greenhouse_status_0		Строительство теплицы	
idea_growth_name_status_10		Выращивание перца чили	
idea_growth_name_status_9		Выращивание лайма	
idea_growth_status_6		Выращивание бананового дерева	
idea_growth_status_7		Выращивание кокосового дерева	
idea_growth_status_8		Выращивание хлопчатника		
idea_mess_hall_status		Здание столовой	
idea_rope_status		Изготовление веревки	
idea_rowboat_status0		Постройка гребной лодки	
idea_rum_status		Изготовление рома	
idea_sacred_key_status0		Ковка священного ключа	
idea_sail_status0		Изготовление паруса	
idea_sand_quarry_status		Карьер строительного песка	
idea_sandstone_status		Создание песчаника	
idea_seafood_stew_status_0		Приготовление рагу из морепродуктов	
idea_shell_chest_status_0		Изготовление сундука из ракушек	
idea_sloop_status0		Постройка шлюпа	
idea_smelting_glass_status		Создание стекла	
idea_smelting_status_2		Выплавка золота	
idea_smelting_status_3		Изготовление монеты	
idea_sushi_status		Приготовление суши	
idea_tamago_sushi_status		Приготовление суши тамаго	
idea_training_captain_status		Обучение капитана	
idea_training_fisher_status		Обучение рыболова	
idea_training_monkey_status		Дрессированная обезьянка	
ideagroup_fishing		Рыбная ловля 
ideagroup_important		Важно	
ideagroup_island		Остров	
ideagroup_sailing		Морской флот	
label_a_rumor		Слухи	
label_awakened_something		Вы пробудили что-то...	
label_awakened_the_kraken		Это Кракен!	
label_card_cap		Карточный колпачок	
label_complete_more_island_quests_for_pack		<one>Выполните еще 1 квест на острове, чтобы разблокировать этот пакет!<other>Complete [remaining] more Island Quests to unlock this Pack!	
label_everyone_on_island_dead		Все на острове погибли	
label_everyone_on_island_dead_text		Ваши карточки останутся здесь, когда вы вернетесь
label_island_intro_1		Добро пожаловать на остров	
label_island_intro_2		Находясь на острове, вам не придется заботиться о материке
label_island_intro_3		Вы можете вернуться на материк в любое время, используя гребную лодку
label_island_intro_4		Гребная лодка может перевозить только одну карту - другие лодки позволяют перевозить больше карт туда и обратно
label_island_intro_5		Если все ваши жители погибнут, вы будете возвращены на материк
label_island_intro_6		Удачи!	
label_island_intro_pack_text		За победу над демоном вы получаете набор	
label_island_intro_pack_title		Отлично!	
label_island_intro_title		Остров!	
label_join_our_discord		Присоединяйтесь к нашему Discord	
label_main_quests		Основные задания	
label_momma_crab_appeared_text		Она кажется злой...	
label_momma_crab_appeared_title		Мама-краб 
label_no_ideas_yet		Вы еще не нашли ни одной идеи
label_one_villager_needs_to_stay		Хотя бы один житель деревни должен остаться на материке
label_pirate_boat_appeared		Появилась пиратская лодка	
label_quests_complete_more_to_see		Выполните больше заданий, чтобы увидеть следующие	
label_return_to_mainland		Возвращение на материк	
label_rumor_full		Слухи: [name]	
label_sailing_off_title		Отплытие	
label_save_game		<b>Сохранить [save_index]</b> - [percentage] complete - last played [date]	
label_save_games		Сохранить игру	
label_select_save		Выберите Сохранить	
label_side_quests		Побочные квесты	
label_start_new_save		<b>Сохранить [save_index]</b> - создать новое сохранение	
label_status_effect		Статус: [status]	
label_time		Время	
label_you_killed_the_demon_lord		Вы убили Повелителя демонов
pack_island_advanced_text		Продвинутый архипелаг	
pack_island_cooking_text		Гриль и пивоварение	
pack_island_ideas1_text		Остров идей	
pack_island_ideas2_text		Познание острова	
pack_island_intro_text		Остров?	
pack_island_locations_text		Исследователи анклава	
pack_island1_text		Свежий остров	
pack_island2_text		На берегу	
quest_befriend_a_pirate_text		Подружитесь с пиратом	
quest_bribe_pirate_boat_text		Подкупить пирата 
quest_build_cathedral_text		Постройте собор на материке	
quest_build_composter_text		Постройте компостер	
quest_build_fish_trap_text		Постройте ловушку для рыбы	
quest_build_greenhouse_text		Постройте теплицу	
quest_build_mess_hall_text		Постройте зал для занятий	
quest_build_rowboat_text		Постройте гребную лодку	
quest_build_sloop_text		Постройте шлюп	
quest_catch_a_fish_text		Поймать рыбу	
quest_cook_crab_meat_text		Приготовьте крабовое мясо	
quest_crack_coconut_text		Расколоть кокосовый орех	
quest_cure_poison_text		Вылечить отравленного жителя деревни	
quest_drunk_villager_text		Напоить жителя деревни	
quest_find_treasure_map_text		Найдите карту сокровищ	
quest_find_treasure_text		Найти сокровища	
quest_forge_sacred_key_text		Выковать Священный ключ	
quest_get_2_bananas_text		Получите 2 банана	
quest_have_shells_text		Есть [count] ракушек	
quest_island_relic_to_cathedral_text		Принесите островную реликвию в собор	
quest_kill_demon_lord_text		Убить повелителя демонов
quest_kill_kraken_text		Убить Кракена	
quest_kill_momma_crab_text		Убить мамочку-краба 
